date,srtg_price_idr,TBIG,MDKA,ADRO,AADI,MPMX,AGII,NRCA,jci_idx,nav_idr_bn,nav_per_share_idr,discount_to_nav_pct
2025-12-19,1470.0,2140.0,2190.0,1900.0,7050.0,955.0,1595.0,1780.0,,61739.22,4556.4,67.74
2025-12-22,1450.0,2140.0,2260.0,1895.0,7050.0,960.0,1600.0,1555.0,,62027.16,4577.65,68.32
2025-12-23,1450.0,2300.0,2230.0,1905.0,7025.0,960.0,1550.0,1530.0,,63027.01,4651.44,68.83
2025-12-24,1460.0,2490.0,2200.0,1890.0,6975.0,955.0,1510.0,1605.0,,64098.0,4730.48,69.14
2025-12-29,1505.0,2810.0,2320.0,1945.0,7025.0,960.0,1570.0,1525.0,,67291.33,4966.15,69.69
2025-12-30,1580.0,2680.0,2280.0,1810.0,6975.0,965.0,1515.0,1525.0,,65467.91,4831.58,67.3
2026-01-02,1550.0,2600.0,2330.0,1820.0,7050.0,965.0,1590.0,1670.0,,65313.98,4820.22,67.84
2026-01-05,1535.0,2550.0,2480.0,1840.0,7025.0,980.0,1565.0,1570.0,,65747.17,4852.19,68.36
2026-01-06,1640.0,2450.0,2700.0,1865.0,7075.0,975.0,1555.0,1635.0,,66245.68,4888.98,66.46
2026-01-07,1675.0,2400.0,2720.0,2010.0,7350.0,990.0,1520.0,1470.0,,67000.68,4944.7,66.13
2026-01-08,1610.0,2340.0,2560.0,2030.0,7400.0,990.0,1530.0,1310.0,,65948.8,4867.07,66.92
2026-01-09,1630.0,2330.0,2700.0,2100.0,7250.0,985.0,1630.0,1365.0,,66721.42,4924.09,66.9
2026-01-12,1625.0,2280.0,2890.0,2150.0,7150.0,985.0,1585.0,1180.0,,67341.2,4969.83,67.3
2026-01-13,1885.0,2110.0,3120.0,2290.0,7450.0,990.0,1625.0,1135.0,,68253.92,5037.19,62.58
2026-01-14,1820.0,2170.0,3060.0,2230.0,7450.0,995.0,1565.0,1210.0,,68118.7,5027.21,63.8
2026-01-15,1820.0,2240.0,2990.0,2230.0,7500.0,1010.0,1610.0,1185.0,,68394.71,5047.58,63.94
2026-01-19,1815.0,2240.0,3060.0,2170.0,7500.0,1015.0,1610.0,1345.0,,68476.96,5053.65,64.09
2026-01-20,1825.0,2230.0,3210.0,2240.0,7500.0,1025.0,1635.0,1275.0,,69470.58,5126.98,64.4
2026-01-21,1790.0,2200.0,3310.0,2260.0,7425.0,1015.0,1600.0,1230.0,,69693.07,5143.4,65.2
2026-01-22,1915.0,2170.0,3240.0,2350.0,7975.0,1020.0,1590.0,1195.0,,70230.6,5183.07,63.05
2026-01-23,1925.0,2100.0,3300.0,2400.0,8450.0,1030.0,1565.0,1190.0,,70830.86,5227.37,63.17
